doi,title,is_oa,oa_status,pdf_url,query_label,search_letter,reason
10.1093/grurint/ikad140,A Scanner Darkly: Copyright Liability and Exceptions in Artificial Intelligence Inputs and Outputs,TRUE,hybrid,https://academic.oup.com/grurint/advance-article-pdf/doi/10.1093/grurint/ikad140/55675705/ikad140.pdf,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1145/3633287,Bob or Bot: Exploring ChatGPT's Answers to University Computer Science Assessment,TRUE,bronze,https://dl.acm.org/doi/pdf/10.1145/3633287,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1073/pnas.2415898122,The benefits and dangers of anthropomorphic conversational agents,TRUE,hybrid,https://www.pnas.org/doi/pdf/10.1073/pnas.2415898122,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1145/3613904.3642706,How Beginning Programmers and Code LLMs (Mis)read Each Other,TRUE,gold,https://dl.acm.org/doi/pdf/10.1145/3613904.3642706,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/educsci15020113,"AI in the Classroom: Insights from Educators on Usage, Challenges, and Mental Health",TRUE,gold,https://www.mdpi.com/2227-7102/15/2/113/pdf?version=1737516579,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/knowledge3020014,From Knowledge to Wisdom: Looking beyond the Knowledge Hierarchy,TRUE,gold,https://www.mdpi.com/2673-9585/3/2/14/pdf?version=1683177715,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.3390/su132011387,Knowledge Management Infrastructure Framework for Enhancing Knowledge-Intensive Business Processes,TRUE,gold,https://www.mdpi.com/2071-1050/13/20/11387/pdf?version=1634779203,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.1097/cm9.0000000000003456,Application of large language models in disease diagnosis and treatment,TRUE,gold,https://doi.org/10.1097/cm9.0000000000003456,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.1145/3606261,Scarecrows in Oz: The Use of Large Language Models in HRI,TRUE,bronze,https://dl.acm.org/doi/pdf/10.1145/3606261,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.20944/preprints202002.0405.v1,How Could Sustainable Agriculture Increase Climate Resilience? A Systematic Review,TRUE,green,https://www.preprints.org/manuscript/202002.0405/v1/download,Block 2E: Tacit knowledge,E,Previously failed — not retried
10.3390/su15129355,Evolutionary Game Analysis of Artificial Intelligence Such as the Generative Pre-Trained Transformer in Future Education,TRUE,gold,https://www.mdpi.com/2071-1050/15/12/9355/pdf?version=1686314208,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/su151813484,"The Application of AutoML Techniques in Diabetes Diagnosis: Current Approaches, Performance, and Future Directions",TRUE,gold,https://www.mdpi.com/2071-1050/15/18/13484/pdf?version=1694174801,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
10.3390/app14177455,Large Language Models for Intelligent Transportation: A Review of the State of the Art and Challenges,TRUE,gold,https://www.mdpi.com/2076-3417/14/17/7455/pdf?version=1724404931,Block 1H: AI and research practice (no field restriction),H,Previously failed — not retried
